[2026-05-11T11:20:23.476251Z] [DEBUG] [CA_CONN] msg_type=CERT_APPLY - Received UNKNOWN from ('127.0.0.1', 60268)
[2026-05-11T11:20:23.476872Z] [ERROR] [CA_CONN] msg_type=N/A - Connection error with ('127.0.0.1', 60268): Connection closed prematurely
[2026-05-11T11:20:23.476945Z] [INFO] [CA_CONN] msg_type=N/A - Connection closed with ('127.0.0.1', 60268)
[2026-05-11T11:20:24.491400Z] [INFO] [CA_SERVER] msg_type=N/A - New connection from ('127.0.0.1', 60269)
[2026-05-11T11:20:24.491878Z] [DEBUG] [CA_CONN] msg_type=CERT_APPLY - Received UNKNOWN from ('127.0.0.1', 60269)
[2026-05-11T11:20:24.492317Z] [ERROR] [CA_CONN] msg_type=N/A - Connection error with ('127.0.0.1', 60269): Connection closed prematurely
[2026-05-11T11:20:24.492409Z] [INFO] [CA_CONN] msg_type=N/A - Connection closed with ('127.0.0.1', 60269)
[2026-05-11T11:20:24.921193Z] [INFO] [CA_SERVER] msg_type=N/A - New connection from ('127.0.0.1', 60270)
[2026-05-11T11:20:24.921579Z] [DEBUG] [CA_CONN] msg_type=CERT_APPLY - Received UNKNOWN from ('127.0.0.1', 60270)
[2026-05-11T11:20:24.929576Z] [INFO] [CA_CERT] msg_type=N/A - Issued certificate TEST-EXC-003 (serial: 000009) to ('127.0.0.1', 60270)
[2026-05-11T11:20:24.930054Z] [ERROR] [CA_CONN] msg_type=N/A - Connection error with ('127.0.0.1', 60270): Connection closed prematurely
[2026-05-11T11:20:24.930135Z] [INFO] [CA_CONN] msg_type=N/A - Connection closed with ('127.0.0.1', 60270)
[2026-05-11T11:20:25.464637Z] [INFO] [CA_SERVER] msg_type=N/A - New connection from ('127.0.0.1', 60271)
[2026-05-11T11:20:25.464980Z] [DEBUG] [CA_CONN] msg_type=CERT_RENEW_REQUEST - Received UNKNOWN from ('127.0.0.1', 60271)
[2026-05-11T11:20:25.467848Z] [WARN] [CA_CERT] msg_type=N/A - Certificate renew mismatch: cert_id=TEST-EXC-003, machine_id=WRONG-MACHINE-ID, expected=TEST-EXC-003 error_code=CERT_MACHINE_ID_MISMATCH
[2026-05-11T11:20:25.468102Z] [ERROR] [CA_CONN] msg_type=N/A - Connection error with ('127.0.0.1', 60271): Connection closed prematurely
[2026-05-11T11:20:25.468134Z] [INFO] [CA_CONN] msg_type=N/A - Connection closed with ('127.0.0.1', 60271)
[2026-05-11T11:20:25.491170Z] [WARN] [CA_CERT] msg_type=N/A - Revoke failed: certificate NON-EXISTENT-CERT not found error_code=CERT_NOT_FOUND
[2026-05-11T11:20:25.974587Z] [INFO] [CA_SERVER] msg_type=N/A - New connection from ('127.0.0.1', 60272)
[2026-05-11T11:20:25.975070Z] [DEBUG] [CA_CONN] msg_type=CERT_APPLY - Received UNKNOWN from ('127.0.0.1', 60272)
[2026-05-11T11:20:25.990786Z] [INFO] [CA_CERT] msg_type=N/A - Issued certificate CLIENT-INT-001 (serial: 000010) to ('127.0.0.1', 60272)
[2026-05-11T11:20:25.990987Z] [ERROR] [CA_CONN] msg_type=N/A - Connection error with ('127.0.0.1', 60272): Connection closed prematurely
[2026-05-11T11:20:25.991056Z] [INFO] [CA_CONN] msg_type=N/A - Connection closed with ('127.0.0.1', 60272)
[2026-05-11T11:20:26.300272Z] [INFO] [CA_SERVER] msg_type=N/A - New connection from ('127.0.0.1', 60273)
[2026-05-11T11:20:26.300711Z] [DEBUG] [CA_CONN] msg_type=CERT_APPLY - Received UNKNOWN from ('127.0.0.1', 60273)
[2026-05-11T11:20:26.308808Z] [INFO] [CA_CERT] msg_type=N/A - Issued certificate APP-INT-001 (serial: 000011) to ('127.0.0.1', 60273)
[2026-05-11T11:20:26.309145Z] [ERROR] [CA_CONN] msg_type=N/A - Connection error with ('127.0.0.1', 60273): Connection closed prematurely
[2026-05-11T11:20:26.309202Z] [INFO] [CA_CONN] msg_type=N/A - Connection closed with ('127.0.0.1', 60273)
[2026-05-11T11:22:30.416504Z] [INFO] [CA_SERVER] msg_type=N/A - CA server started on 0.0.0.0:8003
[2026-05-11T11:22:45.397210Z] [INFO] [CA_SERVER] msg_type=N/A - New connection from ('127.0.0.1', 61033)
[2026-05-11T11:22:45.397576Z] [DEBUG] [CA_CONN] msg_type=CERT_APPLY - Received UNKNOWN from ('127.0.0.1', 61033)
[2026-05-11T11:22:45.403590Z] [INFO] [CA_CERT] msg_type=N/A - Issued certificate CLIENT-TEST-001 (serial: 000001) to ('127.0.0.1', 61033)
[2026-05-11T11:22:45.403941Z] [ERROR] [CA_CONN] msg_type=N/A - Connection error with ('127.0.0.1', 61033): Connection closed prematurely
[2026-05-11T11:22:45.404020Z] [INFO] [CA_CONN] msg_type=N/A - Connection closed with ('127.0.0.1', 61033)
[2026-05-11T11:22:45.442360Z] [INFO] [CA_CERT] msg_type=N/A - Revoked certificate CLIENT-TEST-001
[2026-05-11T11:22:45.767655Z] [INFO] [CA_SERVER] msg_type=N/A - New connection from ('127.0.0.1', 61034)
[2026-05-11T11:22:45.767995Z] [DEBUG] [CA_CONN] msg_type=CERT_APPLY - Received UNKNOWN from ('127.0.0.1', 61034)
[2026-05-11T11:22:45.772573Z] [INFO] [CA_CERT] msg_type=N/A - Issued certificate AS-TEST-001 (serial: 000002) to ('127.0.0.1', 61034)
[2026-05-11T11:22:45.772772Z] [ERROR] [CA_CONN] msg_type=N/A - Connection error with ('127.0.0.1', 61034): Connection closed prematurely
[2026-05-11T11:22:45.772841Z] [INFO] [CA_CONN] msg_type=N/A - Connection closed with ('127.0.0.1', 61034)
[2026-05-11T11:22:46.162453Z] [INFO] [CA_SERVER] msg_type=N/A - New connection from ('127.0.0.1', 61035)
[2026-05-11T11:22:46.162832Z] [DEBUG] [CA_CONN] msg_type=CERT_APPLY - Received UNKNOWN from ('127.0.0.1', 61035)
[2026-05-11T11:22:46.177147Z] [INFO] [CA_CERT] msg_type=N/A - Issued certificate TGS-TEST-001 (serial: 000003) to ('127.0.0.1', 61035)
[2026-05-11T11:22:46.177327Z] [ERROR] [CA_CONN] msg_type=N/A - Connection error with ('127.0.0.1', 61035): Connection closed prematurely
[2026-05-11T11:22:46.177388Z] [INFO] [CA_CONN] msg_type=N/A - Connection closed with ('127.0.0.1', 61035)
